ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
1;27.926.651;2.372.665;261.304;7.741.253;57.774.384;64.333.595;23.667.091;15.463.246;18.151.728;11.224.701;1793;1;2.6
2;2.610.665;2.249.665;24.219.152;8.913.024;67.788.345;81.853.325;18.844.202;13.324.863;15.753.914;85.117.035;1269;1;11.5
3;3.078.665;2.458.665;27.377.901;79.046.265;61.431.263;7.124.607;13.450.708;40.249.224;9.665.017;5.116.147;3889;1;0.1
4;3.197.665;2.458.665;28.076.235;885.057;59.774.693;7.248.725;15.978.486;4.802.999;98.033.285;9.841.045;4982;0;0
5;3.252.665;2.383.665;27.966.238;8.636.699;56.192.333;731.274;9.885.262;54.833.565;7.308.845;100.679.726;5603;0;0
6;3.288.665;2.319.665;28.076.653;9.489.133;57.165.703;7.694.735;12.24;32.399.998;6.019.485;9.691.684;5358;0;0
7;3.285.665;23.926.651;280.529;9.457.603;51.405.533;73.411.934;8.350.138;1.835.647;52.429.338;10.641.723;5961;0;0
8;3.175.665;2.339.665;27.213.318;9.200.353;56.181.297;7.543.986;9.726.664;0.35999998;53.805.995;97.950.775;4732;0;0
9;3.303.665;2.350.665;2.788.957;921.727;52.165.134;7.550.358;8.427.383;12.979.984;4.221.171;11.017.686;5380;0;0
10;3.267.665;2.368.665;27.996.649;9.353.471;5.094.099;7.349.324;90.645.685;28.116.899;5.810.112;10.792.288;5251;0;0
11;3.258.665;2.277.665;27.953.733;9.344.207;48.802.193;7.070.227;9.114.471;0.35999998;49.056.697;11.764.598;4781;0;0
12;3.243.665;2.437.665;28.038.317;9.243.749;57.686.874;7.635.076;7.342.588;0.35999998;4.074.762;14.204.578;3429;0;0
13;3.328.665;2.474.665;28.997.482;94.139.175;4.588.462;68.291.756;10.931.203;0.71999997;4.302.071;13.796.094;5663;0;0
14;3.372.665;24.176.651;28.341.234;8.717.113;3.573.909;63.979.176;12.522.619;0.71999997;53.477.287;10.702.052;5967;0;0
15;3.386.665;2.377.665;281.079;9.382.208;4.287.512;7.180.362;14.241.629;14.399.999;65.616.603;23.222.432;5044;0;0
16;3.324.665;2.572.665;29.341.227;8.506.601;45.814.804;6.594.319;8.435.069;20.991.426;52.760.673;12.184.245;4696;0;0
17;3.293.665;2.557.665;287.529;88.257.484;5.045.848;6.900.684;8.473.393;0.35999998;3.543.163;9.642.875;4908;1;0.3
18;3.415.665;2.396.665;2.895.207;84.184.586;37.384.804;6.144.209;9.346.143;3.671.294;6.037.762;7.948.521;5266;0;0
19;3.449.665;2.404.665;2.888.957;7.299.477;35.443.172;57.154.694;1.539.184;19.386.592;66.993.327;92.710.205;5805;0;0
20;3.459.665;2.403.665;2.915.706;8.808.869;36.081.985;6.364.365;17.873.554;1.484.318;6.760.689;16.539.555;5671;0;0
21;3.626.665;2.506.665;29.680.397;8.380.555;27.750.458;60.624.493;15.408.671;14.399.999;7.373.655;34.853.046;5007;0;0
22;3.449.665;2.519.665;29.072.899;8.359.465;3.670.367;6.257.391;15.141.414;11.384.199;70.177.116;8.560.129;5364;1;0.1
23;3.459.665;2.368.665;28.325.396;8.178.128;2.730.692;54.481.213;15.379.206;23.051.248;6.849.879;55.773.636;5869;0;0
24;3.460.665;2.199.665;27.736.235;7.673.411;1.996.813;51.370.132;14.618.837;11.384.199;5.498.064;14.890.268;6333;0;0
25;3.409.665;2.136.665;2.729.332;87.828.316;23.018.387;56.104.034;11.090.103;1.08;6.945.383;4.666.855;6254;0;0
26;3.423.665;2.187.665;278.254;917.516;26.366.505;5.746.567;12.24;1.08;54.940.124;11.497.391;5661;0;0
27;3.459.665;2.395.665;2.834.498;803.952;31.048.824;5.448.064;10.464.797;29.024.127;66.934.476;29.649.857;5409;0;0
28;3.478.665;2.304.665;282.904;89.154.106;27.299.725;56.074.295;17.654.686;15.273.507;65.390.415;17.829.018;6246;0;0
29;3.460.665;2.363.665;28.769.983;7.659.707;35.336.887;58.338.833;15.978.486;0.35999998;6.763.716;14.471.326;4840;0;0
30;35.466.652;2.355.665;2.936.415;81.084.724;3.359.484;56.796.497;15.778.516;12.979.984;64.813.466;118.622.696;5403;0;0
31;3.523.665;2.397.665;29.029.564;7.152.299;30.463.732;54.570.477;16.485.485;0.8049845;542.104;14.379.373;5629;0;0
32;3.461.665;2.396.665;28.990.396;7.755.521;29.682.936;57.360.138;15.034.041;11.384.199;60.264.945;15.176.256;5491;0;0
33;3.522.665;2.449.665;29.344.147;7.888.598;34.543.625;582.283;14.934.577;0.35999998;54.693.184;16.227.237;5240;0;0
34;3.526.665;2.520.665;294.554;7.347.794;34.395.973;57.647.663;16.055.353;15.273.507;6.729.508;15.300.417;4779;0;0
35;3.470.665;25.016.651;29.281.649;7.993.021;431.516;623.626;16.167.967;14.399.999;75.760.593;13.998.242;5392;0;0
36;3.500.665;2.520.665;2.914.248;7.356.681;3.675.224;59.575.527;18.448.023;11.384.199;8.111.748;144.634;5307;0;0
37;3.464.665;2.446.665;28.784.986;8.114.593;3.690.935;63.110.397;18.129.137;595.906;10.371.278;1.460.635;5416;0;0
38;34.556.652;2.433.665;28.873.316;87.584.946;41.694.096;66.967.766;16.595.179;45.536.795;8.642.597;15.562.656;5192;0;0
39;3.548.665;2.487.665;29.145.401;9.091.268;40.667.274;6.750.793;17.208.603;20.991.426;8.198.264;15.252.557;5994;0;0
40;3.486.665;2.523.665;28.698.318;8.644.598;38.027.813;67.205.284;1.803.237;25.455.842;914.355;15.043.343;5428;0;0
41;3.518.665;2.414.665;28.974.564;8.343.228;36.797.165;59.490.063;17.388.409;6.151.683;10.729.968;13.811.584;6331;0;0
42;36.306.652;21.516.651;29.249.151;7.936.834;3.163.011;5.273.297;15.034.041;4.452.954;9.735.963;12.466.812;6552;0;0
43;3.517.665;2.568.665;30.052.483;69.937.386;41.885.345;5.394.392;12.864.649;0;63.098.965;10.691.417;4935;0;0
44;3.606.665;2.444.665;29.618.319;7.178.522;2.669.363;52.166.687;1.758.481;0.8049845;6.656.873;13.856.915;6235;0;0
