ngay,nhietdocaonhat,nhietdothapnhat,nhietdotrungbinh,doamcaonhat,doamthapnhat,doamtrungbinh,giolonnhat,giothapnhat,giotrungbinh,huonggiotheodo,bucxamattroi,mua,luongmua
1,27.926651,23.72665,26.1304,77.41253,57.774384,64.333595,23.667091,15.463246,18.151728,11.224701,1793,1,2.6
2,26.10665,22.49665,24.219152,89.13024,67.788345,81.853325,18.844202,13.324863,15.753914,8.5117035,1269,1,11.5
3,30.78665,24.58665,27.377901,79.046265,61.431263,71.24607,13.450708,4.0249224,9.665017,51.16147,3889,1,0.1
4,31.97665,24.58665,28.076235,88.5057,59.774693,72.48725,15.978486,4.802999,9.8033285,98.41045,4982,0,0
5,32.52665,23.83665,27.966238,86.36699,56.192333,73.1274,9.885262,5.4833565,7.308845,100.679726,5603,0,0
6,32.88665,23.19665,28.076653,94.89133,57.165703,76.94735,12.24,3.2399998,6.019485,96.91684,5358,0,0
7,32.85665,23.926651,28.0529,94.57603,51.405533,73.411934,8.350138,1.835647,5.2429338,106.41723,5961,0,0
8,31.75665,23.39665,27.213318,92.00353,56.181297,75.43986,9.726664,0.35999998,5.3805995,97.950775,4732,0,0
9,33.03665,23.50665,27.88957,92.1727,52.165134,75.50358,8.427383,1.2979984,4.221171,110.17686,5380,0,0
10,32.67665,23.68665,27.996649,93.53471,50.94099,73.49324,9.0645685,2.8116899,5.810112,107.92288,5251,0,0
11,32.58665,22.77665,27.953733,93.44207,48.802193,70.70227,9.114471,0.35999998,4.9056697,117.64598,4781,0,0
12,32.43665,24.37665,28.038317,92.43749,57.686874,76.35076,7.342588,0.35999998,4.074762,142.04578,3429,0,0
13,33.28665,24.74665,28.997482,94.139175,45.88462,68.291756,10.931203,0.71999997,4.302071,137.96094,5663,0,0
14,33.72665,24.176651,28.341234,87.17113,35.73909,63.979176,12.522619,0.71999997,5.3477287,107.02052,5967,0,0
15,33.86665,23.77665,28.1079,93.82208,42.87512,71.80362,14.241629,1.4399999,6.5616603,232.22432,5044,0,0
16,33.24665,25.72665,29.341227,85.06601,45.814804,65.94319,8.435069,2.0991426,5.2760673,121.84245,4696,0,0
17,32.93665,25.57665,28.7529,88.257484,50.45848,69.00684,8.473393,0.35999998,3.543163,96.42875,4908,1,0.3
18,34.15665,23.96665,28.95207,84.184586,37.384804,61.44209,9.346143,3.671294,6.037762,79.48521,5266,0,0
19,34.49665,24.04665,28.88957,72.99477,35.443172,57.154694,15.39184,1.9386592,6.6993327,92.710205,5805,0,0
20,34.59665,24.03665,29.15706,88.08869,36.081985,63.64365,17.873554,1.484318,6.760689,165.39555,5671,0,0
21,36.26665,25.06665,29.680397,83.80555,27.750458,60.624493,15.408671,1.4399999,7.373655,348.53046,5007,0,0
22,34.49665,25.19665,29.072899,83.59465,36.70367,62.57391,15.141414,1.1384199,7.0177116,85.60129,5364,1,0.1
23,34.59665,23.68665,28.325396,81.78128,27.30692,54.481213,15.379206,2.3051248,6.849879,55.773636,5869,0,0
24,34.60665,21.99665,27.736235,76.73411,19.96813,51.370132,14.618837,1.1384199,5.498064,148.90268,6333,0,0
25,34.09665,21.36665,27.29332,87.828316,23.018387,56.104034,11.090103,1.08,6.945383,4.666855,6254,0,0
26,34.23665,21.87665,27.8254,91.7516,26.366505,57.46567,12.24,1.08,5.4940124,114.97391,5661,0,0
27,34.59665,23.95665,28.34498,80.3952,31.048824,54.48064,10.464797,2.9024127,6.6934476,29.649857,5409,0,0
28,34.78665,23.04665,28.2904,89.154106,27.299725,56.074295,17.654686,1.5273507,6.5390415,178.29018,6246,0,0
29,34.60665,23.63665,28.769983,76.59707,35.336887,58.338833,15.978486,0.35999998,6.763716,144.71326,4840,0,0
30,35.466652,23.55665,29.36415,81.084724,33.59484,56.796497,15.778516,1.2979984,6.4813466,118.622696,5403,0,0
31,35.23665,23.97665,29.029564,71.52299,30.463732,54.570477,16.485485,0.8049845,5.42104,143.79373,5629,0,0
32,34.61665,23.96665,28.990396,77.55521,29.682936,57.360138,15.034041,1.1384199,6.0264945,151.76256,5491,0,0
33,35.22665,24.49665,29.344147,78.88598,34.543625,58.2283,14.934577,0.35999998,5.4693184,162.27237,5240,0,0
34,35.26665,25.20665,29.4554,73.47794,34.395973,57.647663,16.055353,1.5273507,6.729508,153.00417,4779,0,0
35,34.70665,25.016651,29.281649,79.93021,43.1516,62.3626,16.167967,1.4399999,7.5760593,139.98242,5392,0,0
36,35.00665,25.20665,29.14248,73.56681,36.75224,59.575527,18.448023,1.1384199,8.111748,144.634,5307,0,0
37,34.64665,24.46665,28.784986,81.14593,36.90935,63.110397,18.129137,5.95906,10.371278,146.0635,5416,0,0
38,34.556652,24.33665,28.873316,87.584946,41.694096,66.967766,16.595179,4.5536795,8.642597,155.62656,5192,0,0
39,35.48665,24.87665,29.145401,90.91268,40.667274,67.50793,17.208603,2.0991426,8.198264,152.52557,5994,0,0
40,34.86665,25.23665,28.698318,86.44598,38.027813,67.205284,18.03237,2.5455842,9.14355,150.43343,5428,0,0
41,35.18665,24.14665,28.974564,83.43228,36.797165,59.490063,17.388409,6.151683,10.729968,138.11584,6331,0,0
42,36.306652,21.516651,29.249151,79.36834,31.63011,52.73297,15.034041,4.452954,9.735963,124.66812,6552,0,0
43,35.17665,25.68665,30.052483,69.937386,41.885345,53.94392,12.864649,0,6.3098965,106.91417,4935,0,0
44,36.06665,24.44665,29.618319,71.78522,26.69363,52.166687,17.58481,0.8049845,6.656873,138.56915,6235,0,0
45,35.93665,23.83665,29.505402,65.27516,26.889679,50.663708,17.399586,2.7416782,7.8914413,117.85239,5473,0,0
46,35.75665,25.08665,29.877897,67.73085,23.588474,46.910313,14.685176,6.28713,9.778342,126.06439,6353,0,0
47,36.47665,23.96665,29.6354,72.31566,27.88952,56.458633,18.692286,5.991594,10.672818,134.62875,6277,0,0
48,34.52665,24.33665,29.189566,87.4704,37.650726,63.21606,13.324863,5.7599998,9.628051,161.998,5489,0,0
49,33.466652,24.44665,28.668314,94.995094,45.87239,71.39857,13.779114,5.00128,10.2158,153.70161,5166,1,0.3
50,34.24665,24.22665,28.799149,95.15276,43.507164,70.66631,17.283749,6.3690495,11.335228,144.19357,5546,1,0.1
